id,rating,description,product_id
1,5,Incredible!,1
2,4,Wow.  I'd buy this again.,2
3,3,Good,3
4,3,Good,4
5,1,Ugggg.....,5
6,5,Incredible!,6
7,5,Incredible!,7
8,4,Wow.  I'd buy this again.,8
9,5,Incredible!,9
10,4,Wow.  I'd buy this again.,10
11,3,Good,11
12,3,Good,12
13,1,Ugggg.....,13
14,5,Incredible!,14
15,5,Incredible!,15
16,4,Wow.  I'd buy this again.,16
17,5,Incredible!,17
18,4,Wow.  I'd buy this again.,18
19,3,Good,19
20,3,Good,20
21,1,Ugggg.....,21
22,5,Incredible!,22
23,5,Incredible!,23
24,4,Wow.  I'd buy this again.,24
25,5,Incredible!,25
26,4,Wow.  I'd buy this again.,26
27,3,Good,27
28,3,Good,28
29,1,Ugggg.....,29
30,5,Incredible!,30
31,5,Incredible!,31
32,4,Wow.  I'd buy this again.,32
33,5,Incredible!,33
34,4,Wow.  I'd buy this again.,34
35,3,Good,35
36,3,Good,36
37,1,Ugggg.....,37
